x,Power
450,210.17775
451,213.21900
452,212.72250
453,212.32800
454,213.07050
455,211.18725
456,213.28200
457,212.14275
458,212.57775
459,210.74625
460,212.12475
461,211.18875
462,212.40000
463,212.01675
464,210.19875
465,212.13975
466,211.20900
467,210.45525
468,212.78925
469,210.68850
470,211.81350
471,211.55325
472,212.96925
473,211.25025
474,212.08875
475,213.40650
476,212.99100
477,213.37575
478,212.41500
479,215.41350
480,212.71500
481,209.98500
482,210.69825
483,211.48500
484,211.32375
485,211.31175
486,210.59850
487,209.25900
488,211.06950
489,213.39075
490,213.99975
491,213.71025
492,213.82200
493,211.91025
494,214.24200
495,212.56650
496,212.17200
497,212.71425
498,213.32325
499,210.67575
500,213.14100
501,211.20975
502,212.21850
503,213.24000
504,213.63675
505,210.39900
506,211.18725
507,211.39950
508,212.22525
509,212.42175
510,210.17325
511,210.63300
512,213.30675
513,213.95250
514,215.65050
515,210.87975
516,213.06450
517,213.01275
518,213.02550
519,214.19250
520,211.74825
521,212.80275
522,211.44150
523,211.68000
524,210.78825
525,212.98875
526,210.57000
527,214.95375
528,212.32875
529,211.18050
530,208.40475
531,210.63150
532,210.97950
533,209.08350
534,208.57125
535,208.83675
536,212.55975
537,211.81875
538,213.95700
539,214.45200
540,212.47200
541,212.48025
542,213.39825
543,213.40125
544,212.65725
545,212.38500
546,212.77575
547,212.88675
548,214.17225
549,212.74425
550,214.96725
551,214.41975
552,213.17400
553,211.63875
554,210.80175
555,213.23775
556,212.61450
557,212.65125
558,211.56450
559,214.74975
560,212.75625
561,215.38275
562,216.46050
563,213.23100
564,214.06200
565,214.06875
566,212.78625
567,213.48825
568,212.70450
569,213.18450
570,212.31450
571,212.73750
572,213.27375
573,213.96750
574,215.28975
575,213.57150
576,214.72950
577,211.39200
578,210.65250
579,213.04575
580,210.27675
581,212.14125
582,209.32875
583,211.93875
584,212.98125
585,214.61400
586,214.17150
587,214.74675
588,215.12475
589,214.06575
590,213.80850
591,214.57800
592,214.33275
593,214.43925
594,212.77875
595,213.37425
596,213.42675
597,213.45150
598,215.97000
599,213.73125
600,215.10525
601,212.65650
602,211.91475
603,212.33175
604,210.67125
605,210.47700
606,212.09100
607,210.45975
608,211.65000
609,212.25300
610,213.35175
611,211.51500
612,215.17725
613,213.43800
614,213.41475
615,213.66075
616,211.95750
617,211.59525
618,212.74350
619,213.08925
620,212.82825
621,214.25850
622,213.85350
623,214.52250
624,214.86525
625,211.09650
626,211.54275
627,209.85375
628,211.01700
629,211.55475
630,212.24250
631,211.42200
632,210.96825
633,212.47350
634,210.58950
635,214.50450
636,211.90575
637,213.82200
638,213.98850
639,212.98275
640,211.82625
641,211.54575
642,212.88075
643,213.10950
644,214.10475
645,213.96525
646,214.55175
647,214.15200
648,214.73700
649,211.68675
650,210.37500
651,211.75050
652,213.39975
653,213.28125
654,209.86725
655,212.16300
656,212.05275
657,213.24450
658,213.94050
659,215.33700
660,214.35300
661,213.52800
662,210.58050
663,213.39150
664,211.95600
665,212.29500
666,213.49200
667,212.17950
668,213.20100
669,213.96450
670,215.00850
671,214.25850
672,212.99400
673,212.62350
674,211.45800
675,211.29150
676,210.20100
677,211.63500
678,211.38600
679,210.35400
680,213.93750
681,214.81050
682,215.60400
683,216.45600
684,213.90600
685,213.18750
686,212.30400
687,213.07500
688,212.74500
689,212.46450
690,212.55000
691,211.79550
692,213.57150
693,214.84200
694,214.57650
695,214.38300
696,212.77950
697,212.05800
698,210.59700
699,211.03050
700,211.42800
701,212.33550
702,209.39850
703,210.99900
704,212.29800
705,213.76050
706,215.60250
707,213.48900
708,212.05650
709,212.98650
710,214.28400
711,212.73150
712,211.43700
713,211.04850
714,211.84500
715,212.46900
716,213.91200
717,210.40950
718,212.35350
719,212.78700
720,210.33750
721,210.58200
722,211.29750
723,210.47550
724,211.01100
725,210.98850
726,210.56550
727,211.76550
728,212.52975
729,213.56925
730,214.78800
731,214.05825
732,213.71400
733,213.12975
734,211.55700
735,212.70375
736,212.17500
737,209.66550
738,210.12225
739,213.52725
740,213.06225
741,211.67325
742,214.15350
743,213.85275
744,211.20000
